"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Female","15 - 24 years","2000","01",14.8
"Female","15 - 74 years","2000","01",40.7
"Female","25 - 74 years","2000","01",25.8
"Both","15 - 24 years","2000","02",31.6
"Both","15 - 74 years","2000","02",89.3
"Both","25 - 74 years","2000","02",57.7
"Male","15 - 24 years","2000","02",16.6
"Male","15 - 74 years","2000","02",49.9
"Male","25 - 74 years","2000","02",33.2
"Female","15 - 24 years","2000","02",15
"Female","15 - 74 years","2000","02",39.4
"Female","25 - 74 years","2000","02",24.5
"Both","15 - 24 years","2000","03",31.1
"Both","15 - 74 years","2000","03",87.4
"Both","25 - 74 years","2000","03",56.3
"Male","15 - 24 years","2000","03",16.5
"Male","15 - 74 years","2000","03",49
"Male","25 - 74 years","2000","03",32.4
"Female","15 - 24 years","2000","03",14.6
"Female","15 - 74 years","2000","03",38.5
"Female","25 - 74 years","2000","03",23.9
"Both","15 - 24 years","2000","04",31.4
"Both","15 - 74 years","2000","04",89.3
"Both","25 - 74 years","2000","04",57.9
"Male","15 - 24 years","2000","04",16.9
"Male","15 - 74 years","2000","04",48.9
"Male","25 - 74 years","2000","04",32
"Female","15 - 24 years","2000","04",14.5
"Female","15 - 74 years","2000","04",40.4
"Female","25 - 74 years","2000","04",25.9
"Both","15 - 24 years","2000","05",30.6
"Both","15 - 74 years","2000","05",87.6
"Both","25 - 74 years","2000","05",57
"Male","15 - 24 years","2000","05",16.9
"Male","15 - 74 years","2000","05",48.4
"Male","25 - 74 years","2000","05",31.5
"Female","15 - 24 years","2000","05",13.7
"Female","15 - 74 years","2000","05",39.2
"Female","25 - 74 years","2000","05",25.5
"Both","15 - 24 years","2000","06",30.3
"Both","15 - 74 years","2000","06",85.9
"Both","25 - 74 years","2000","06",55.7
"Male","15 - 24 years","2000","06",17
"Male","15 - 74 years","2000","06",47.6
"Male","25 - 74 years","2000","06",30.7
"Female","15 - 24 years","2000","06",13.3
"Female","15 - 74 years","2000","06",38.3
"Female","25 - 74 years","2000","06",25
"Both","15 - 24 years","2000","07",30
"Both","15 - 74 years","2000","07",83.4
"Both","25 - 74 years","2000","07",53.4
"Male","15 - 24 years","2000","07",17.1
"Male","15 - 74 years","2000","07",46.9
"Male","25 - 74 years","2000","07",29.8
"Female","15 - 24 years","2000","07",12.9
"Female","15 - 74 years","2000","07",36.5
"Female","25 - 74 years","2000","07",23.6
"Both","15 - 24 years","2000","08",29.5
"Both","15 - 74 years","2000","08",81.5
"Both","25 - 74 years","2000","08",52
"Male","15 - 24 years","2000","08",16.9
"Male","15 - 74 years","2000","08",46.4
"Male","25 - 74 years","2000","08",29.5
"Female","15 - 24 years","2000","08",12.6
"Female","15 - 74 years","2000","08",35.1
"Female","25 - 74 years","2000","08",22.5
"Both","15 - 24 years","2000","09",28.3
"Both","15 - 74 years","2000","09",78.1
"Both","25 - 74 years","2000","09",49.8
"Male","15 - 24 years","2000","09",16
"Male","15 - 74 years","2000","09",44.7
"Male","25 - 74 years","2000","09",28.7
"Female","15 - 24 years","2000","09",12.3
"Female","15 - 74 years","2000","09",33.4
"Female","25 - 74 years","2000","09",21.1
"Both","15 - 24 years","2000","10",27.3
"Both","15 - 74 years","2000","10",75.2
"Both","25 - 74 years","2000","10",47.9
"Male","15 - 24 years","2000","10",15
"Male","15 - 74 years","2000","10",43.2
"Male","25 - 74 years","2000","10",28.2
"Female","15 - 24 years","2000","10",12.2
"Female","15 - 74 years","2000","10",32
"Female","25 - 74 years","2000","10",19.7
"Both","15 - 24 years","2000","11",26.7
"Both","15 - 74 years","2000","11",73.6
"Both","25 - 74 years","2000","11",47
"Male","15 - 24 years","2000","11",14.6
"Male","15 - 74 years","2000","11",42
"Male","25 - 74 years","2000","11",27.4
"Female","15 - 24 years","2000","11",12.1
"Female","15 - 74 years","2000","11",31.6
"Female","25 - 74 years","2000","11",19.6
"Both","15 - 24 years","2000","12",26.6
"Both","15 - 74 years","2000","12",73.8
"Both","25 - 74 years","2000","12",47.2
"Male","15 - 24 years","2000","12",14.9
"Male","15 - 74 years","2000","12",42
"Male","25 - 74 years","2000","12",27.1
"Female","15 - 24 years","2000","12",11.6
"Female","15 - 74 years","2000","12",31.8
"Female","25 - 74 years","2000","12",20.1
"Both","15 - 24 years","2001","01",26.8
"Both","15 - 74 years","2001","01",74.3
"Both","25 - 74 years","2001","01",47.6
