"Crime Date","Crime","Recorded Crimes"
"2009"," Aggravated burglary",370
"2009"," Burglary (not aggravated)",26704
"2009"," Possession of an article (with intent to burgle steal demand)",432
"2009"," Theft and related offences",76916
"2009"," Theft/taking of vehicle and related offences",13312
"2009"," Theft from person",2636
"2009"," Theft from shop",20554
"2009"," Other thefts handling stolen property",40414
"2009"," Fraud deception and related offences",5217
"2009"," Controlled drug offences",21872
"2009"," Importation of drugs",46
"2009"," Cultivation or manufacture of drugs",271
"2009"," Possession of drugs for sale or supply",3967
"2009"," Possession of drugs for personal use",16764
"2009"," Other drug offences",824
"2009"," Weapons and Explosives Offences",4091
"2009"," Explosives chemical weapons offences",48
"2009"," Discharging a firearm",233
"2009"," Possession of a firearm",403
"2009"," Offensive weapons offences (n.e.c.)",2979
"2009"," Fireworks offences",428
"2009"," Damage to property and to the environment",41916
"2009"," Arson",3007
"2009"," Criminal damage (not arson)",38663
"2009"," Litter offences",246
"2009"," Public order and other social code offences",57484
"2009"," Disorderly conduct",49546
"2009"," Trespass offences",3836
"2009"," Liquor licensing offences",3266
"2009"," Prostitution offences",94
"2009"," Regulated betting/money collection/trading offences",458
"2009"," Social code offences (n.e.c.)",284
"2009"," Offences against government justice procedures and organisation of crime",11747
"2009"," Offences against government and its agents",531
"2009"," Organisation of crime and conspiracy to commit crime",5
"2009"," Perverting the course of justice",146
"2009"," Offences while in custody breach of court orders",11065
"2010"," Homicide offences",112
"2010"," Murder",55
"2010"," Manslaughter",8
"2010"," Infanticide",0
"2010"," Dangerous driving leading to death",49
"2010"," Sexual offences",2303
"2010"," Rape of a male or female",468
"2010"," Defilement of a boy or girl less than  years old",157
"2010"," Sexual offence involving mentally impaired person",15
"2010"," Aggravated sexual assault",7
"2010"," Sexual assault (not aggravated)",1486
"2010"," Other sexual offences",170
"2010"," Attempts/threats to murder assaults harassments and related offences",18219
"2010"," Murder-attempt",7
"2010"," Murder-threat",367
"2010"," Harassment and related offences",2590
"2010"," Assault causing harm poisoning",3680
"2010"," Other assault",11575
"2010"," Dangerous or negligent acts",11698
"2010"," Dangerous driving causing serious bodily harm",19
"2010"," Driving/in charge of a vehicle while over legal alcohol limit",10313
"2010"," Driving/in charge of a vehicle under the influence of drugs",577
"2010"," Endangerment with potential for serious harm/death",56
"2010"," Abandoning a child child neglect and cruelty",434
"2010"," Unseaworthy/dangerous use of boat or ship",10
"2010"," False alarm/interference with aircraft or air transport facilities",7
"2010"," Endangering traffic offences",282
"2010"," Kidnapping and related offences",132
"2010"," False imprisonment",81
"2010"," Abduction of person under  years of age",22
"2010"," Human trafficking offences",29
"2010"," Robbery extortion and hijacking offences",3236
"2010"," Robbery of an establishment or institution",1088
"2010"," Robbery of cash or goods in transit",21
"2010"," Robbery from the person",1981
"2010"," Blackmail or extortion",24
"2010"," Carjacking hijacking/unlawful seizure of aircraft/vessel",122
"2010"," Burglary and related offences",26102
"2010"," Aggravated burglary",332
"2010"," Burglary (not aggravated)",25261
"2010"," Possession of an article (with intent to burgle steal demand)",509
"2010"," Theft and related offences",76649
"2010"," Theft/taking of vehicle and related offences",11618
"2010"," Theft from person",2824
"2010"," Theft from shop",20776
"2010"," Other thefts handling stolen property",41431
"2010"," Fraud deception and related offences",5494
"2010"," Controlled drug offences",19793
"2010"," Importation of drugs",29
"2010"," Cultivation or manufacture of drugs",532
"2010"," Possession of drugs for sale or supply",4097
"2010"," Possession of drugs for personal use",14387
"2010"," Other drug offences",748
"2010"," Weapons and Explosives Offences",4115
"2010"," Explosives chemical weapons offences",42
"2010"," Discharging a firearm",179
"2010"," Possession of a firearm",407
"2010"," Offensive weapons offences (n.e.c.)",3027
"2010"," Fireworks offences",460
"2010"," Damage to property and to the environment",38815
"2010"," Arson",2573
"2010"," Criminal damage (not arson)",36005
"2010"," Litter offences",237
"2010"," Public order and other social code offences",54855
"2010"," Disorderly conduct",47299
"2010"," Trespass offences",3807
"2010"," Liquor licensing offences",2765
"2010"," Prostitution offences",184
"2010"," Regulated betting/money collection/trading offences",423
"2010"," Social code offences (n.e.c.)",377
"2010"," Offences against government justice procedures and organisation of crime",11189
"2010"," Offences against government and its agents",335
"2010"," Organisation of crime and conspiracy to commit crime",18
"2010"," Perverting the course of justice",99
"2010"," Offences while in custody breach of court orders",10737
"2011"," Homicide offences",81
"2011"," Murder",42
"2011"," Manslaughter",10
"2011"," Infanticide",0
"2011"," Dangerous driving leading to death",29
"2011"," Sexual offences",1958
"2011"," Rape of a male or female",446
"2011"," Defilement of a boy or girl less than  years old",144
"2011"," Sexual offence involving mentally impaired person",14
"2011"," Aggravated sexual assault",9
"2011"," Sexual assault (not aggravated)",1194
"2011"," Other sexual offences",151
"2011"," Attempts/threats to murder assaults harassments and related offences",17152
"2011"," Murder-attempt",8
"2011"," Murder-threat",392
"2011"," Harassment and related offences",2080
"2011"," Assault causing harm poisoning",3541
"2011"," Other assault",11131
"2011"," Dangerous or negligent acts",9691
"2011"," Dangerous driving causing serious bodily harm",13
"2011"," Driving/in charge of a vehicle while over legal alcohol limit",8745
"2011"," Driving/in charge of a vehicle under the influence of drugs",422
"2011"," Endangerment with potential for serious harm/death",101
"2011"," Abandoning a child child neglect and cruelty",197
"2011"," Unseaworthy/dangerous use of boat or ship",3
"2011"," False alarm/interference with aircraft or air transport facilities",5
"2011"," Endangering traffic offences",205
"2011"," Kidnapping and related offences",115
"2011"," False imprisonment",77
"2011"," Abduction of person under  years of age",13
"2011"," Human trafficking offences",25
"2011"," Robbery extortion and hijacking offences",2954
"2011"," Robbery of an establishment or institution",1075
"2011"," Robbery of cash or goods in transit",42
"2011"," Robbery from the person",1713
"2011"," Blackmail or extortion",24
"2011"," Carjacking hijacking/unlawful seizure of aircraft/vessel",100
"2011"," Burglary and related offences",28196
"2011"," Aggravated burglary",334
"2011"," Burglary (not aggravated)",27232
"2011"," Possession of an article (with intent to burgle steal demand)",630
"2011"," Theft and related offences",76664
"2011"," Theft/taking of vehicle and related offences",10481
"2011"," Theft from person",3641
"2011"," Theft from shop",19915
"2011"," Other thefts handling stolen property",42627
"2011"," Fraud deception and related offences",5493
"2011"," Controlled drug offences",17572
"2011"," Importation of drugs",40
"2011"," Cultivation or manufacture of drugs",579
"2011"," Possession of drugs for sale or supply",3817
"2011"," Possession of drugs for personal use",12606
"2011"," Other drug offences",530
"2011"," Weapons and Explosives Offences",3484
"2011"," Explosives chemical weapons offences",80
"2011"," Discharging a firearm",163
"2011"," Possession of a firearm",284
"2011"," Offensive weapons offences (n.e.c.)",2614
"2011"," Fireworks offences",343
"2011"," Damage to property and to the environment",35146
"2011"," Arson",2304
"2011"," Criminal damage (not arson)",32610
"2011"," Litter offences",232
"2011"," Public order and other social code offences",48952
"2011"," Disorderly conduct",42077
"2011"," Trespass offences",3552
"2011"," Liquor licensing offences",2313
"2011"," Prostitution offences",218
"2011"," Regulated betting/money collection/trading offences",297
"2011"," Social code offences (n.e.c.)",495
"2011"," Offences against government justice procedures and organisation of crime",10013
"2011"," Offences against government and its agents",448
"2011"," Organisation of crime and conspiracy to commit crime",22
"2011"," Perverting the course of justice",90
"2011"," Offences while in custody breach of court orders",9453
"2012"," Homicide offences",90
"2012"," Murder",52
"2012"," Manslaughter",8
"2012"," Infanticide",0
"2012"," Dangerous driving leading to death",30
"2012"," Sexual offences",1976
"2012"," Rape of a male or female",457
"2012"," Defilement of a boy or girl less than  years old",129
"2012"," Sexual offence involving mentally impaired person",24
"2012"," Aggravated sexual assault",7
"2012"," Sexual assault (not aggravated)",1218
"2012"," Other sexual offences",141
"2012"," Attempts/threats to murder assaults harassments and related offences",15702
"2012"," Murder-attempt",9
"2012"," Murder-threat",269
"2012"," Harassment and related offences",1919
"2012"," Assault causing harm poisoning",3213
"2012"," Other assault",10292
"2012"," Dangerous or negligent acts",8844
"2012"," Dangerous driving causing serious bodily harm",7
"2012"," Driving/in charge of a vehicle while over legal alcohol limit",8046
"2012"," Driving/in charge of a vehicle under the influence of drugs",276
"2012"," Endangerment with potential for serious harm/death",68
"2012"," Abandoning a child child neglect and cruelty",229
"2012"," Unseaworthy/dangerous use of boat or ship",4
"2012"," False alarm/interference with aircraft or air transport facilities",8
"2012"," Endangering traffic offences",206
"2012"," Kidnapping and related offences",97
"2012"," False imprisonment",65
"2012"," Abduction of person under  years of age",16
"2012"," Human trafficking offences",16
"2012"," Robbery extortion and hijacking offences",2811
"2012"," Robbery of an establishment or institution",1014
"2012"," Robbery of cash or goods in transit",49
"2012"," Robbery from the person",1613
"2012"," Blackmail or extortion",38
"2012"," Carjacking hijacking/unlawful seizure of aircraft/vessel",97
"2012"," Burglary and related offences",28445
"2012"," Aggravated burglary",282
"2012"," Burglary (not aggravated)",27415
"2012"," Possession of an article (with intent to burgle steal demand)",748
"2012"," Theft and related offences",76108
"2012"," Theft/taking of vehicle and related offences",8480
"2012"," Theft from person",5012
"2012"," Theft from shop",19552
"2012"," Other thefts handling stolen property",43064
"2012"," Fraud deception and related offences",5704
