"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH","Crime","Recorded Crimes"
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Defilement of a boy or girl less than  years old",87
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Sexual offence involving mentally impaired person",12
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Aggravated sexual assault",9
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Sexual assault (not aggravated)",1281
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Other sexual offences",127
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Attempts/threats to murder assaults harassments and related offences",14365
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Murder-attempt",13
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Murder-threat",334
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Harassment and related offences",1504
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Assault causing harm poisoning",3071
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Other assault",9443
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Dangerous or negligent acts",7495
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Dangerous driving causing serious bodily harm",12
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Driving/in charge of a vehicle while over legal alcohol limit",6752
